Date,dAg,dAu
03/05/2011,-2.76,-1.40
04/05/2011,-2.47,-1.27
05/05/2011,-3.10,1.02
06/05/2011,3.33,0.88
09/05/2011,1.03,-0.60
10/05/2011,1.43,-1.11
11/05/2011,-4.13,1.04
12/05/2011,3.37,-0.58
13/05/2011,-2.26,-1.22
16/05/2011,-0.45,1.10
17/05/2011,0.95,-0.48
18/05/2011,1.83,-0.39
19/05/2011,-1.63,1.15
20/05/2011,-0.54,1.05
23/05/2011,1.82,-0.22
24/05/2011,1.92,-0.71
25/05/2011,-0.77,0.98
26/05/2011,1.42,0.48
27/05/2011,1.60,-0.42
31/05/2011,-1.35,0.61
01/06/2011,-1.39,0.18
02/06/2011,-2.34,0.76
03/06/2011,2.18,-0.51
06/06/2011,1.21,-0.69
07/06/2011,-1.78,0.00
08/06/2011,1.50,-0.86
09/06/2011,-2.03,-0.82
13/06/2011,-1.53,0.95
14/06/2011,1.29,-0.65
15/06/2011,0.91,0.97
16/06/2011,-0.67,0.65
17/06/2011,0.73,0.22
20/06/2011,1.34,0.71
21/06/2011,-0.93,-1.38
22/06/2011,0.53,-0.74
23/06/2011,-1.89,-1.05
24/06/2011,-1.44,0.26
27/06/2011,-0.38,0.59
28/06/2011,1.13,0.29
29/06/2011,1.35,-1.22
30/06/2011,-1.83,0.90
01/07/2011,0.86,1.00
04/07/2011,1.39,1.07
05/07/2011,1.34,0.13
06/07/2011,1.16,0.96
07/07/2011,1.08,0.95
08/07/2011,0.47,-0.57
11/07/2011,-2.00,1.36
12/07/2011,2.30,0.85
13/07/2011,2.69,-0.47
14/07/2011,-1.77,0.87
15/07/2011,2.38,0.35
18/07/2011,-0.16,-0.97
19/07/2011,-2.07,0.97
20/07/2011,1.76,0.25
21/07/2011,-0.53,0.85
22/07/2011,1.67,-0.22
25/07/2011,-1.04,0.87
26/07/2011,1.08,-0.84
27/07/2011,-1.23,0.96
28/07/2011,-1.18,-0.58
29/07/2011,-0.90,0.95
01/08/2011,1.03,1.39
02/08/2011,1.82,0.78
03/08/2011,1.19,-1.11
04/08/2011,-2.39,1.44
05/08/2011,1.26,1.59
08/08/2011,-1.94,1.44
09/08/2011,-0.36,-0.82
10/08/2011,1.51,-1.17
11/08/2011,-1.51,0.42
12/08/2011,1.52,1.58
15/08/2011,0.68,0.65
16/08/2011,1.29,1.38
17/08/2011,0.87,1.15
18/08/2011,2.03,1.26
19/08/2011,1.90,-0.28
22/08/2011,-1.18,-2.38
23/08/2011,-1.37,-1.52
24/08/2011,-2.71,1.85
25/08/2011,2.30,1.44
26/08/2011,-0.62,-0.79
30/08/2011,1.05,0.64
31/08/2011,0.54,1.73
01/09/2011,1.58,1.03
02/09/2011,0.70,0.00
05/09/2011,-1.42,-2.12
06/09/2011,-1.44,1.58
07/09/2011,1.68,-0.43
08/09/2011,-1.33,-0.97
09/09/2011,-1.19,-0.87
12/09/2011,-1.39,-0.29
13/09/2011,1.74,-1.42
14/09/2011,-1.47,0.82
15/09/2011,-0.96,0.00
16/09/2011,1.11,0.53
19/09/2011,-1.78,-0.58
20/09/2011,1.65,-1.99
21/09/2011,-2.44,-1.38
22/09/2011,-3.62,-2.32
23/09/2011,-3.80,1.95
26/09/2011,4.35,-0.98
27/09/2011,-2.71,-1.35
28/09/2011,-1.65,0.66
29/09/2011,0.93,1.48
30/09/2011,1.40,-1.03
03/10/2011,-1.20,-1.13
04/10/2011,-2.50,1.06
05/10/2011,3.29,1.02
06/10/2011,0.75,0.74
07/10/2011,0.88,0.35
10/10/2011,-1.63,1.07
11/10/2011,2.20,-1.24
12/10/2011,-1.67,1.15
13/10/2011,-0.68,0.49
14/10/2011,1.23,-1.74
17/10/2011,-2.01,1.15
